Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.576371968,0.000633157,0.002433888,29444.10938,0.019901846
1,1,2,0.0015,0.50222218,0.001186753,0.002092803,32135.5293,0.041951779
1,1,3,0.0025,0.412640512,0.001879301,0.001802141,31841.38867,0.084095202
1,1,4,0.0035,0.340329319,0.00274473,0.001563891,31550.06836,0.125467718
1,1,5,0.0045,0.283357531,0.003810098,0.001394869,31283.66992,0.183244586
1,1,6,0.0055,0.239529282,0.005121499,0.001280095,30537.70898,0.248426646
1,1,7,0.0065,0.208175942,0.006770782,0.001216614,30061.01953,0.327796638
1,1,8,0.0075,0.182039321,0.00858455,0.001164002,30475.91992,0.411194801
1,1,9,0.0085,0.158074513,0.010441809,0.001082342,31534.89844,0.474154145
1,1,10,0.009500001,0.136385813,0.012201799,0.00100052,32617.56836,0.525425434
1,1,11,0.010500001,0.115125984,0.013894382,0.00091221,34021.26953,0.574920297
1,1,12,0.011500001,0.095847994,0.01557014,0.000826198,36094.62109,0.624592125
1,1,13,0.012500001,0.079224154,0.017323218,0.000727486,38693.01953,0.660317898
1,1,14,0.013500001,0.064337768,0.019008957,0.000623966,42134.83984,0.689322293
1,1,15,0.014500001,0.052267142,0.020670027,0.00053324,45848.94922,0.712397039
1,1,16,0.015500001,0.042347312,0.022316825,0.000457752,49413.87891,0.735121131
1,1,17,0.016500001,0.034353681,0.023869364,0.000395903,52611.57031,0.756549895
1,1,18,0.017500001,0.02831576,0.025393682,0.000348494,54254.25781,0.773822248
1,1,19,0.018500001,0.023931528,0.026720764,0.000307172,54167.76953,0.780929267
1,1,20,0.019500001,0.020827377,0.02789411,0.000276779,51751.36719,0.781043351
1,1,21,0.020500001,0.018645128,0.02870548,0.000252572,47462.82031,0.771517038
1,1,22,0.021500001,0.017164379,0.029475439,0.000240441,41402,0.763503015
1,1,23,0.022500001,0.016231928,0.030059336,0.000229771,34555.78906,0.740163505
1,1,24,0.023500001,0.015681833,0.030330516,0.000232878,27798.12891,0.727217615
1,1,25,0.024500001,0.015428069,0.030890832,0.000243738,21335.78906,0.71157229
1,1,26,0.025500001,0.015542891,0.031066163,0.000264343,15938.98926,0.697404504
1,1,27,0.026500001,0.015791124,0.031228306,0.000287023,11536.08008,0.675112605
1,1,28,0.027500001,0.016203942,0.031400919,0.000331539,8152.759766,0.675116599
1,1,29,0.028500001,0.016878007,0.031595755,0.000387487,5631.02002,0.664742231
1,1,30,0.029500001,0.017640267,0.03175915,0.000462846,3806.609863,0.661261141
1,1,31,0.030500001,0.018428449,0.032003596,0.000573901,2559.619873,0.671869516
1,1,32,0.031500002,0.019353923,0.031876084,0.000684648,1719.299927,0.661399365
1,1,33,0.032500002,0.020420019,0.031604394,0.000795227,1126.559937,0.628364086
1,1,34,0.033500002,0.021699484,0.031516757,0.001003383,707.7099609,0.632600546
1,1,35,0.034500002,0.02290469,0.031882487,0.001269661,440.3699951,0.650512815
1,1,36,0.035500002,0.024265613,0.031785067,0.001420099,280.6699829,0.604362547
1,1,37,0.036500002,0.025408357,0.031260785,0.001741829,172,0.593488753
1,1,38,0.037500002,0.027036643,0.031656068,0.00241988,104.5599976,0.695370197
1,1,39,0.038500002,0.029030103,0.033054303,0.003336807,65.22000122,0.748589873
1,1,40,0.039500002,0.029683633,0.030680766,0.003571119,36.88999939,0.600358844
1,1,41,0.040500002,0.028460003,0.02793785,0.005878991,21.96999931,0.698543191
1,1,42,0.041500002,0.026244165,0.02439199,0.004992881,11.59000015,0.345401883
1,1,43,0.042500002,0.022719706,0.019482844,0.012594439,8.710000038,0.677017391
